datetime,logmove
2021-04-08,8.462948177
2021-04-08,9.436997743
2021-04-08,8.954673629
2021-04-08,9.00307017
2021-04-08,9.064157862
2021-04-08,9.288781798
2021-04-08,8.253227646
2021-04-08,9.534161491
2021-04-08,8.61323038
2021-04-08,8.946374826
2021-04-08,7.98752448
2021-04-08,9.282847063
2021-04-08,8.7740036
2021-04-08,8.60153434
2021-04-08,10.34509171
2021-04-08,8.129174997
2021-04-08,9.182763604
2021-04-08,9.086136769
2021-04-08,9.684336023
2021-04-08,8.929567708
2021-04-08,9.872615889
2021-04-08,8.14786713
2021-04-08,9.064157862
2021-04-08,8.14786713
2021-04-08,8.577723691
2021-04-08,8.502688505
2021-04-08,7.714231145
2021-04-08,9.312174678
2021-04-08,9.351839934
2021-04-08,8.636219898
2021-04-08,9.258749511
2021-04-08,9.026417534
2021-04-08,8.754002934
2021-04-08,8.903815212
2021-04-08,7.796469243
2021-04-08,8.68067166
2021-04-08,9.67633598
2021-04-08,9.162829389
2021-04-08,9.351839934
2021-04-08,8.476371197
2021-04-08,8.236420527
2021-04-08,9.570529135
2021-04-08,8.129174997
2021-04-08,8.51559191
2021-04-08,8.962904128
2021-04-08,8.528330936
2021-04-08,9.731037116
2021-04-08,9.452187908
2021-04-08,9.651944527
2021-04-08,8.009030685
2021-04-08,9.651944527
2021-04-08,9.323669057
2021-04-08,9.064157862
2021-04-08,8.540909718
2021-04-08,8.070906089
2021-04-08,9.761001904
2021-04-08,9.114710141
2021-04-08,9.908276069
2021-04-08,8.348537825
2021-04-08,9.538780437
2021-04-08,10.29228113
2021-04-08,8.577723691
2021-04-08,9.010913347
2021-04-08,8.378390789
2021-04-08,11.32128058
2021-04-08,8.30201781
2021-04-08,8.7740036
2021-04-08,8.877381955
2021-04-08,9.639522007
2021-04-08,8.754002934
2021-04-08,8.449342525
2021-04-08,9.14931567
2021-04-08,9.700146629
2021-04-08,8.184234774
2021-04-08,10.02535114
2021-04-08,9.162829389
2021-04-08,7.624618986
2021-04-08,9.379238908
2021-04-08,8.647519453
2021-04-08,10.18474906
2021-04-08,9.680344001
2021-04-08,8.921057018
2021-04-08,9.049232212
2021-04-08,9.056722883
2021-04-08,9.734832187
2021-04-08,8.912473275
2021-04-08,8.317766167
2021-04-08,9.135616826
2021-04-08,9.373818841
2021-04-08,9.36288977
2021-04-08,8.877381955
2021-04-08,9.049232212
2021-04-08,9.312174678
2021-04-08,8.348537825
2021-04-08,8.253227646
2021-04-08,8.99516499
2021-04-08,9.609921537
2021-04-08,8.489616424
2021-04-08,8.540909718
2021-04-08,8.14786713
2021-04-08,8.462948177
2021-04-08,9.793672687
2021-04-08,8.589699882
2021-04-08,10.02251426
2021-04-08,9.215128889
2021-04-08,8.42156296
2021-04-08,9.942708266
2021-04-08,9.317938383
2021-04-08,9.182763604
2021-04-08,9.534161491
2021-04-08,8.540909718
2021-04-08,8.99516499
2021-04-08,9.078864009
2021-04-08,9.189321005
2021-04-08,9.00307017
2021-04-08,10.1478445
2021-04-08,9.609921537
2021-04-08,9.034080407
2021-04-08,8.850230966
2021-04-08,8.090708716
2021-04-08,8.921057018
2021-04-08,8.378390789
2021-04-08,8.378390789
2021-04-08,7.920083199
2021-04-08,8.831711918
2021-04-08,9.208739091
2021-04-08,10.14281936
2021-04-08,9.195835686
2021-04-08,9.078864009
2021-04-08,8.962904128
2021-04-08,8.201934351
2021-04-08,9.056722883
2021-04-08,9.908276069
2021-04-08,8.553332238
2021-04-08,8.070906089
2021-04-08,8.66974259
2021-04-08,7.847762538
2021-04-08,8.979164649
2021-04-08,10.91929777
2021-04-08,7.796469243
2021-04-08,8.219326094
2021-04-08,8.733594062
2021-04-08,8.528330936
2021-04-08,9.501217335
2021-04-08,8.723231275
2021-04-08,9.800790154
2021-04-08,8.333270353
2021-04-08,10.57561537
2021-04-08,8.886270902
2021-04-08,8.764053269
2021-04-08,8.553332238
2021-04-08,9.680344001
2021-04-08,8.962904128
2021-04-08,8.979164649
2021-04-08,9.768354879
2021-04-08,8.348537825
2021-04-08,9.384629757
2021-04-08,8.712759975
2021-04-08,8.392989588
2021-04-08,8.184234774
2021-04-08,8.66974259
2021-04-08,8.859363449
2021-04-08,9.688312171
2021-04-08,9.411156511
2021-04-08,7.592870288
2021-04-09,8.822322178
2021-04-09,9.034080407
2021-04-09,8.090708716
2021-04-09,8.987196821
2021-04-09,8.743850562
2021-04-09,9.29468152
2021-04-09,9.195835686
2021-04-09,9.329367078
2021-04-09,9.049232212
2021-04-09,9.496421163
2021-04-09,8.407378325
2021-04-09,9.195835686
2021-04-09,8.803273983
2021-04-09,9.64782081
2021-04-09,10.01108556
2021-04-09,10.13523399
2021-04-09,8.577723691
2021-04-09,9.162829389
2021-04-09,9.317938383
2021-04-09,8.658692754
2021-04-09,7.560080465
2021-04-09,7.624618986
2021-04-09,8.502688505
2021-04-09,8.392989588
2021-04-09,7.82244473
2021-04-09,9.800790154
2021-04-09,8.68067166
2021-04-09,9.723403491
2021-04-09,9.742379392
2021-04-09,8.859363449
2021-04-09,8.946374826
2021-04-09,8.528330936
2021-04-09,8.812843434
2021-04-09,9.574983486
2021-04-09,9.128696383
2021-04-09,9.026417534
2021-04-09,8.317766167
2021-04-09,8.783855897
2021-04-09,8.868413285
2021-04-09,8.754002934
2021-04-09,8.636219898
2021-04-09,8.903815212
2021-04-09,8.476371197
2021-04-09,8.822322178
2021-04-09,9.547954813
2021-04-09,7.526178913
2021-04-09,8.528330936
2021-04-09,8.912473275
2021-04-09,7.742402022
2021-04-09,9.14931567
2021-04-09,9.481893063
2021-04-09,8.449342525
2021-04-09,9.071537969
2021-04-09,8.783855897
2021-04-09,8.859363449
2021-04-09,8.14786713
2021-04-09,9.107642974
2021-04-09,8.946374826
2021-04-09,8.946374826
2021-04-09,7.896552702
2021-04-09,8.929567708
2021-04-09,8.129174997
2021-04-09,8.831711918
2021-04-09,8.895081532
2021-04-09,8.528330936
2021-04-09,9.927204079
2021-04-09,9.026417534
2021-04-09,7.416979621
2021-04-09,9.018695488
2021-04-09,8.378390789
2021-04-09,9.579418083
2021-04-09,9.156095357
2021-04-09,9.010913347
2021-04-09,7.560080465
2021-04-09,8.129174997
2021-04-09,7.87245515
2021-04-09,9.496421163
